109,I,002488
109,I,002489
109,I,001141
109,I,001053
109,I,001184
109,I,001027
11,O,001145
11,O,001044
11,O,001173
11,O,001050
11,O,001052
11,O,003845
11,O,002430
11,O,002434
11,O,002435
11,O,002437
11,O,002574
11,O,002535
11,O,002512
11,O,002513
11,O,002514
11,O,002515
11,O,002516
11,O,002517
11,O,002511
11,O,002407
11,O,002461
11,O,002462
11,O,002463
11,O,002464
11,O,002471
11,O,002472
11,O,002473
11,O,002525
11,O,002526
11,O,002527
11,O,002528
11,I,002511
11,I,002407
11,I,002461
11,I,002462
11,I,002463
11,I,002464
11,I,002471
11,I,002472
11,I,002473
11,I,002525
11,I,002526
11,I,002527
11,I,002528
11,I,002529
11,I,002530
11,I,002531
11,I,002532
11,I,002533
11,I,002534
11,I,002465
11,I,002439
11,I,002440
11,I,002442
11,I,002446
11,I,002449
11,I,001141
11,I,001142
11,I,001106
11,I,001076
11,I,001143
11,I,001145
110,O,001207
110,O,001301
110,O,001356
110,O,001357
110,O,003781
110,O,001358
110,O,001359
110,O,001360
110,O,001361
110,O,001375
110,O,002791
110,O,001379
110,O,001277
110,O,001279
110,O,001475
110,O,001480
110,O,002811
110,O,001482
110,O,003548
110,O,001400
110,O,002838
110,O,001402
110,O,001587
110,O,001540
110,I,001480
110,I,002811
110,I,001482
110,I,003548
110,I,001400
110,I,002838
110,I,001402
110,I,001587
110,I,001540
110,I,001417
110,I,001418
110,I,001476
110,I,001335
110,I,001248
110,I,001243
110,I,001244
110,I,001254
110,I,001256
110,I,001257
110,I,001379
110,I,001378
110,I,002792
110,I,001313
110,I,001315
110,I,001376
110,I,001350
110,I,001351
110,I,001352
110,I,002676
110,I,001353
110,I,001354
110,I,001355
110,I,001207
111,O,001027
111,O,001044
111,O,002737
111,O,001051
111,O,001137
111,O,002427
111,O,002431
111,O,002413
111,O,002539
111,O,002968
111,O,001475
111,O,001412
111,O,001413
111,O,001534
111,O,001535
111,O,001772
111,O,001529
111,O,001572
111,O,001642
111,O,003005
111,O,001689
111,O,001452
111,O,001448
111,O,001654
111,I,001654
111,I,001525
111,I,001472
111,I,001699
111,I,001450
111,I,001451
111,I,001577
111,I,001530
111,I,001538
111,I,001643
111,I,001644
111,I,001415
111,I,001476
111,I,002441
111,I,002444
111,I,002566
111,I,002537
111,I,002445
111,I,002446
111,I,001141
111,I,001053
111,I,001056
111,I,001027
111P,O,003289
111P,O,003290
111P,O,003291
111P,O,001577
111P,O,001530
111P,O,001538
111P,O,001643
111P,O,001644
111P,O,001415
111P,O,001476
111P,O,002566
111P,O,002537
111P,O,002445
111P,O,002446
111P,O,001141
111P,O,001053
111P,O,001056
111P,O,001027
111P,I,001027
111P,I,001044
111P,I,002737
111P,I,001051
111P,I,001137
111P,I,002427
111P,I,002431
111P,I,002413
111P,I,002539
111P,I,002968
111P,I,001475
111P,I,001412
111P,I,001413
111P,I,001534
111P,I,001535
111P,I,001772
111P,I,002991
111P,I,003005
111P,I,001689
111P,I,001452
111P,I,001448
111P,I,001503
111P,I,003605
111P,I,003606
111P,I,003607
111P,I,003289
112,O,002801
112,O,001277
112,O,001280
112,O,001364
112,O,001283
112,O,001286
112,O,001215
112,O,002554
112,O,002404
112,O,001475
112,O,001769
112,O,001547
112,O,001548
112,O,001552
112,O,001554
112,O,001555
112,O,001426
112,O,001429
112,O,002810
112,O,001602
112,O,002813
112,O,002808
112,O,002836
112,I,002836
112,I,002812
112,I,002814
112,I,001405
112,I,001637
112,I,001444
112,I,001447
112,I,001556
112,I,001557
112,I,001559
112,I,001562
112,I,001564
112,I,001471
112,I,001411
112,I,001476
112,I,002456
112,I,002474
112,I,002673
112,I,002438
112,I,001213
112,I,001259
112,I,001260
112,I,001261
112,I,001262
112,I,001264
112,I,002801
113,O,001177
113,O,002764
113,O,001059
113,O,001060
113,O,001192
113,O,002734
113,O,001064
113,O,001065
113,O,001044
113,O,001047
113,O,001051
113,O,002479
113,O,002480
113,O,002481
113,O,002482
113,O,002484
113,O,002405
113,O,001475
113,O,001578
113,O,001579
113,O,001616
113,O,001617
113,O,003015
113,O,003016
113,O,003017
113,O,003018
113,O,003019
113,O,003020
113,O,003021
113,O,003022
113,O,003023
113,O,003024
113,O,003025
113,O,002993
113,O,001689
113,O,001452
113,O,001742
113,O,001698
113,I,001698
113,I,001695
113,I,001690
113,I,001524
113,I,003006
113,I,003007
113,I,003008
113,I,003014
113,I,003009
113,I,003010
113,I,003011
113,I,003012
113,I,003013
113,I,001625
